C0 	 N 	 idle
23 	 1 	 52.63
40 	 2 	 52.76
56 	 3 	 52.84
68 	 4 	 52.89
80 	 5 	 52.92
92 	 6 	 52.92
99 	 7 	 52.91
105 	 8 	 52.87
118 	 9 	 52.82
122 	 10 	 52.76
123 	 11 	 52.68
133 	 12 	 52.59
134 	 13 	 52.49
143 	 14 	 52.38
140 	 15 	 52.26
147 	 16 	 52.14
162 	 17 	 51.98
167 	 18 	 51.82
164 	 19 	 51.65
169 	 20 	 51.48
175 	 21 	 51.32
164 	 22 	 51.15
164 	 23 	 50.98
183 	 24 	 50.78
186 	 25 	 50.59
191 	 26 	 50.38
194 	 27 	 50.18
176 	 28 	 49.99
194 	 29 	 49.76
193 	 30 	 49.55
203 	 31 	 49.32
201 	 32 	 49.1
182 	 33 	 48.88
184 	 34 	 48.68
194 	 35 	 48.45
197 	 36 	 48.22
198 	 37 	 48.02
201 	 38 	 47.78
205 	 39 	 47.56
205 	 40 	 47.33
193 	 41 	 47.11
197 	 42 	 46.9
196 	 43 	 46.68
194 	 44 	 46.46
191 	 45 	 46.26
195 	 46 	 46.04
198 	 47 	 45.82
199 	 48 	 45.6
203 	 49 	 45.39
200 	 50 	 45.18
205 	 51 	 44.97
205 	 52 	 44.76
199 	 53 	 44.56
190 	 54 	 44.35
184 	 55 	 44.14
181 	 56 	 43.94
176 	 57 	 43.74
182 	 58 	 43.54
177 	 59 	 43.34
180 	 60 	 43.14
194 	 61 	 42.94
187 	 62 	 42.74
165 	 63 	 42.54
193 	 64 	 42.34
195 	 65 	 42.14
198 	 66 	 41.95
201 	 67 	 41.76
199 	 68 	 41.57
188 	 69 	 41.38
204 	 70 	 41.2
197 	 71 	 41.02
188 	 72 	 40.84
188 	 73 	 40.66
198 	 74 	 40.48
177 	 75 	 40.3
183 	 76 	 40.13
188 	 77 	 39.95
190 	 78 	 39.78
183 	 79 	 39.61
169 	 80 	 39.44
170 	 81 	 39.27
169 	 82 	 39.1
179 	 83 	 38.92
169 	 84 	 38.75
176 	 85 	 38.59
173 	 86 	 38.42
175 	 87 	 38.26
178 	 88 	 38.09
178 	 89 	 37.93
180 	 90 	 37.77
182 	 91 	 37.61
184 	 92 	 37.45
186 	 93 	 37.29
187 	 94 	 37.14
190 	 95 	 36.98
192 	 96 	 36.82
194 	 97 	 36.66
192 	 98 	 36.51
197 	 99 	 36.36
193 	 100 	 36.21
